timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767805607.4967659,ATT48,16479,10628,55.052691004892736,1.0032470226287842,1.0032782554626465,200,100,0.1,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805608.5019348,ATT48,13153,10628,23.757997741814076,1.0051255226135254,1.0051567554473877,200,100,0.1,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805609.5059018,ATT48,15388,10628,44.78735415882574,1.0039291381835938,1.0039591789245605,200,100,0.1,0.8,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805610.5102615,ATT48,18654,10628,75.5175009409108,1.0043163299560547,1.004347801208496,200,100,0.1,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805611.5128925,ATT48,21760,10628,104.74219044034625,1.002584457397461,1.002617359161377,200,100,0.1,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805612.465644,ATT48,23930,10628,125.15995483628153,0.9527089595794678,0.9527390003204346,200,100,0.1,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805613.5007296,ATT48,15157,10628,42.613850207000375,1.035048484802246,1.0350775718688965,200,100,0.1,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805614.4647865,ATT48,13265,10628,24.811817839668798,0.9640209674835205,0.9640491008758545,200,100,0.1,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805615.4669278,ATT48,13561,10628,27.596913812570566,1.0021069049835205,1.0021345615386963,200,100,0.1,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805616.5172615,ATT48,13355,10628,25.658637561159203,1.0502986907958984,1.0503261089324951,200,100,0.1,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805617.6058512,ATT48,11444,10628,7.677832141512984,1.0885546207427979,1.088582992553711,200,100,0.1,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805618.6373131,ATT48,15193,10628,42.952578095596536,1.0314280986785889,1.0314555168151855,200,100,0.1,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805619.7039056,ATT48,16028,10628,50.80918328942416,1.0665555000305176,1.066584825515747,200,100,0.1,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805620.7721775,ATT48,15881,10628,49.42604441098984,1.0682342052459717,1.0682635307312012,200,100,0.1,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805621.8182206,ATT48,15126,10628,42.32216785848701,1.0460104942321777,1.0460379123687744,200,100,0.1,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
